nurse_id,unit_id,shift_start,shift_end,clock_out_actual,note_filed_time,pto_days_taken,consecutive_shifts,break_taken
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-01T07:00:00,2025-01-01T19:30:00,2025-01-01T19:43:00,2025-01-01T21:59:18.506847,2,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-02T07:00:00,2025-01-02T19:30:00,2025-01-02T20:00:00,2025-01-02T22:28:34.492141,2,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-03T07:00:00,2025-01-03T19:30:00,2025-01-03T19:46:00,2025-01-03T21:17:07.128106,1,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-04T07:00:00,2025-01-04T19:30:00,2025-01-04T20:09:00,2025-01-04T14:33:41.218576,1,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-05T07:00:00,2025-01-05T19:30:00,2025-01-05T19:53:00,2025-01-05T21:43:42.462077,1,3,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-06T07:00:00,2025-01-06T19:30:00,2025-01-06T19:52:00,2025-01-06T21:23:52.096514,2,3,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-07T07:00:00,2025-01-07T19:30:00,2025-01-07T20:10:00,2025-01-07T13:54:41.045514,2,3,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-08T07:00:00,2025-01-08T19:30:00,2025-01-08T19:41:00,2025-01-08T12:03:26.936088,1,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-09T07:00:00,2025-01-09T19:30:00,2025-01-09T20:10:00,2025-01-09T13:53:04.880966,1,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-10T07:00:00,2025-01-10T19:30:00,2025-01-10T19:50:00,2025-01-10T14:00:12.339211,2,3,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-11T07:00:00,2025-01-11T19:30:00,2025-01-11T19:54:00,2025-01-11T21:28:27.356860,1,2,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-12T07:00:00,2025-01-12T19:30:00,2025-01-12T19:48:00,2025-01-12T21:11:55.265480,1,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-13T07:00:00,2025-01-13T19:30:00,2025-01-13T20:06:00,2025-01-13T14:49:37.286968,1,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-14T07:00:00,2025-01-14T19:30:00,2025-01-14T20:10:00,2025-01-14T22:19:01.885611,1,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-15T07:00:00,2025-01-15T19:30:00,2025-01-15T19:46:00,2025-01-15T22:04:35.105811,2,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-16T07:00:00,2025-01-16T19:30:00,2025-01-16T20:09:00,2025-01-16T11:47:23.803114,2,2,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-17T07:00:00,2025-01-17T19:30:00,2025-01-17T19:45:00,2025-01-17T13:54:50.682582,1,3,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-18T07:00:00,2025-01-18T19:30:00,2025-01-18T19:57:00,2025-01-18T21:03:14.551946,1,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-19T07:00:00,2025-01-19T19:30:00,2025-01-19T19:51:00,2025-01-19T12:59:52.972338,1,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-20T07:00:00,2025-01-20T19:30:00,2025-01-20T20:08:00,2025-01-20T15:10:35.112767,1,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-22T07:00:00,2025-01-22T19:30:00,2025-01-22T20:02:00,2025-01-22T13:15:55.081312,1,2,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-23T07:00:00,2025-01-23T19:30:00,2025-01-23T20:05:00,2025-01-23T22:18:25.144394,1,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-24T07:00:00,2025-01-24T19:30:00,2025-01-24T19:42:00,2025-01-24T12:20:28.558102,2,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-25T07:00:00,2025-01-25T19:30:00,2025-01-25T19:43:00,2025-01-25T13:12:57.894408,2,2,false
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-26T07:00:00,2025-01-26T19:30:00,2025-01-26T19:50:00,2025-01-26T11:59:24.354406,1,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-27T07:00:00,2025-01-27T19:30:00,2025-01-27T20:05:00,2025-01-27T14:11:33.437903,1,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-28T07:00:00,2025-01-28T19:30:00,2025-01-28T20:07:00,2025-01-28T13:25:03.539678,2,2,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-29T07:00:00,2025-01-29T19:30:00,2025-01-29T20:10:00,2025-01-29T12:25:55.799269,2,3,true
9a148bb0-63a2-4b7b-823c-9d0b56ba2b78,PEDS,2025-01-30T07:00:00,2025-01-30T19:30:00,2025-01-30T19:53:00,2025-01-30T13:52:40.905555,2,3,true
01d46704-b65f-4317-87c7-c004c3f885b9,NICU,2025-01-01T07:00:00,2025-01-01T19:30:00,,2025-01-01T12:15:22.107819,4,1,false
01d46704-b65f-4317-87c7-c004c3f885b9,NICU,2025-01-02T07:00:00,2025-01-02T19:30:00,2025-01-02T19:32:00,2025-01-02T14:33:26.246482,3,2,true
01d46704-b65f-4317-87c7-c004c3f885b9,NICU,2025-01-03T07:00:00,2025-01-03T19:30:00,2025-01-03T19:38:00,2025-01-03T20:49:45.139309,5,2,true
